ID,Location,Date,Claimed by AFRICOM?,Description of target ,DPH claim?,URL,
104,"NW of Kismayo, Lower Juba, Somalia",17-Sep-19,Yes,al-Shabaab members,No,https://airwars.org/civilian-casualties/ussom247-september-17-2019/,
105," Road between Jilib and Kismayo, Middle Juba, Somalia",3-Sep-19,Yes,al-Shabaab member,No,https://airwars.org/civilian-casualties/ussom245-september-3-2019/,
106,"Near Jilib, Middle Juba, Somalia",3-Sep-19,Yes,vehicle and equipment,No,https://airwars.org/civilian-casualties/ussom246-september-3-2019/,
107,"Kunya Barrow, Middle Juba, Somalia",20-Aug-19,Yes,al-Shabaab member,No,https://airwars.org/civilian-casualties/ussom244-august-20-2019/,
108,"Salagle, Middle Juba, Somalia",5-Aug-19,No,al-Shabaab members,No,https://airwars.org/civilian-casualties/ussom243-august-5-2019/,
109,"Bu'aale, Middle Juba, Somalia",29-Jul-19,No,al-Shabaab member,No,https://airwars.org/civilian-casualties/ussom242-july-29-2019/,
110,"Jamaame, Lower Juba, Somalia","July 29–30, 2019",No,"al-Shabaab members, graduating training ",No,https://airwars.org/civilian-casualties/ussom241-july-29-2019/,
111,"Outside Kunya Barrow, Middle Juba, Somalia",18-Jul-19,No,al-Shabaab members,No,https://airwars.org/civilian-casualties/ussom239-july-18-2019/,
112,"Lower Shabelle, Somalia",14-Jul-19,No,al-Shabaab members and vehicles,No,https://airwars.org/civilian-casualties/ussom238-july-14-2019/,
113," Jilib, Middle Juba, Somalia",11-Jul-19,No,"al-Shabaab members at a camp, allegedly planning an attack ",Maybe,https://airwars.org/civilian-casualties/ussom237a-c-july-11-2019/,
114,"Kunya Barrow, Middle Juba, Somalia",25-Jun-19,Yes,al-Shabaab member or civilian businessman,No,https://airwars.org/civilian-casualties/ussom236-c-june-25-2019/,
115," Jilib, Middle Juba, Somalia",24-Jun-19,Yes,al-Shabaab member,No,https://airwars.org/civilian-casualties/ussom235-june-24-2019/,
116,"Jilib, Middle Juba, Somalia",16-Jun-19,Yes,al-Shabaab members,No,https://airwars.org/civilian-casualties/ussom233-june-16-2019/,
117,"Vicinity of Jilib, Middle Juba, Somalia",16-Jun-19,Yes,al-Shabaab members,No,https://airwars.org/civilian-casualties/ussom234-june-16-2019/,
118,"Outskirts of Tortoroow, Lower Shabelle, Somalia",5-Jun-19,Yes,al-Shabaab member or civilian,No,https://airwars.org/civilian-casualties/ussom232-c-june-5-2019/,
119,"Jilib, Middle Juba, Somalia",27-May-19,No,al-Shabaab member,No,https://airwars.org/civilian-casualties/ussom230-may-27-2019/,
120,"Golis Mountains, Puntland, Somalia",26-May-19,Yes,al-Shabaab members,No,https://airwars.org/civilian-casualties/ussom229-may-26-2019/,
121,"Golis Mountains, Puntland, Somalia",24-May-19,Yes,al-Shabaab members,No,https://airwars.org/civilian-casualties/ussom228-may-24-2019/,
122,"Beled Amin, Lower Shabelle, Somalia",22-May-19,Yes,al-Shabaab members,No,https://airwars.org/civilian-casualties/ussom227-may-22-2019/,
123,"Bu'aale, Middle Juba, Somalia","May 17–18, 2019",No,al-Shabaab members,No,https://airwars.org/civilian-casualties/ussom224-may-17-2019/,
124,"Jilib, Middle Juba, Somalia","May 17–18, 2019",No,al-Shabaab members,No,https://airwars.org/civilian-casualties/ussom225-may-17-2019/,
125,"Buusaar, Gedo, Somalia",13-May-19,No,al-Shabaab bases,No,https://airwars.org/civilian-casualties/ussom223-may-13-2019/,
126,"Farsooley, Lower Shabelle, Somalia","May 9–10, 2019",No,village,No,https://airwars.org/civilian-casualties/ussom222a-c-may-10-2019/,
127,"Jamaame, Lower Juba, Somalia",9-May-19,Yes,al-Shabaab members,No,https://airwars.org/civilian-casualties/ussom221-may-9-2019/,
128," Jilib, Middle Juba, Somalia",8-May-19,Yes,al-Shabaab members,No,https://airwars.org/civilian-casualties/ussom220-may-8-2019/,
129,"Vicinity of Tortoroow, Lower Shabelle, Somalia",5-May-19,Yes,al-Shabaab members engaging Somali forces trying to retake the area ,No,https://airwars.org/civilian-casualties/ussom217-may-5-2019/,
130,"Jilib, Middle Juba, Somalia",5-May-19,No,"al-Shabaab base, allegedly making bombs ",Maybe,https://airwars.org/civilian-casualties/ussom218-may-5-2019/,
131,"Timirshe, Bari, Somalia",26-Apr-19,Yes,ISIS hideout and al-Shabaab members at a water well ,No,https://airwars.org/civilian-casualties/ussom216-april-26-2019/,
132,"Vicinity of Jamaame, Lower Juba, Somalia",19-Apr-19,Yes,al-Shabaab member who allegedly killed a soldier the year prior ,No ,https://airwars.org/civilian-casualties/ussom215-april-19-2019/,
133,"3 km away from Xiriiro, on the way to Hol Anod, Bari, Somalia",14-Apr-19,Yes,al-Shabaab members and vehicle ,No,https://airwars.org/civilian-casualties/ussom214-april-14-2019/,
134,"Garowle, Lower Shabelle, Somalia",11-Apr-19,Yes,al-Shabaab members and vehicle,No,https://airwars.org/civilian-casualties/ussom213-april-11-2019/,
135," Jilib, Middle Juba, Somalia",9-Apr-19,Yes,al-Shabaab member,No,https://airwars.org/civilian-casualties/ussom212-april-9-2019/,
136,"Ugunji, Lower Shabelle, Somalia",4-Apr-19,No,"al-Shabaab members, shops, and homes",No,https://airwars.org/civilian-casualties/ussom211-c-april-4-2019/,
137,"Bu'aale, Middle Juba, Somalia",22-Mar-19,No,al-Shabaab members,No,https://airwars.org/civilian-casualties/ussom210-march-22-2019/,
138,"Laantabuur or Abdow Dibile, Lower Shabelle, Somalia",18-Mar-19,Yes,al-Shabaab members or civilian farmers in their vehicles,No,https://airwars.org/civilian-casualties/ussom209-c-march-18-2019/,
139,"Jilib Marka, Lower Shabelle, Somalia","March 15–16, 2019",No,al-Shabaab members,No,https://airwars.org/civilian-casualties/ussom208-march-16-2019/,
140,"Malayle, between Bar Sanguni and Jamame, Lower Juba, Somalia",13-Mar-19,Yes,al-Shabaab members attacking Somali forces during a Somali offensive,Yes,https://airwars.org/civilian-casualties/ussom207-march-13-2019/,
